gene_names,t2ds_pret2ds_pvalue,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
BBC3,0.7642864870187946,0.18490687138791476,0.4500179163382714
BCL10,0.8153282768363468,0.7849028386811824,0.35452880898128586
BCL2,0.7104379056033857,0.02617127032283398,0.10263002662567722
BCL2A1,0.43854304691845736,0.47806050035444786,0.448774804449387
BCL2L1,0.522717469304167,0.02617127032283398,0.10428812578126964
BCL2L11,0.8400775758556747,0.2411990741765675,0.5280104926687611
BCL3,0.6856730442416888,0.6491086971638713,0.74112649328367
BCL6,0.7917181018905581,0.06326002876155508,0.04322191485312712
BECN1,0.6551598277788772,0.017310241815933457,0.14535917109116225
BEX3,0.2595235226757511,0.02454779824888333,0.28807958960085406
BID,0.7452432417596505,0.47491371522310016,0.5626706108634583
BIRC2,0.7104379056033857,0.8168460533646581,0.5898064629393684
BIRC3,0.4879508012158093,0.0372716075784069,0.06941811959063944
BLNK,0.33446411380071556,0.07793020441333949,0.6457544259890822
BMP6,0.5935571421356693,0.3776699020009712,0.08774813346787357
BMP8A,0.7705561074060572,0.9571001034564389,0.3549283520153101
BMP8B,0.053545685093582776,0.3538939580685545,0.0917740633371928
BMPR1A,0.17412266237529717,0.42806857947956206,0.10720021046896913
BMPR2,0.22052474496084123,0.11389819493850398,0.9004435431489994
BNIP3,0.5284242644797617,0.7997312216422707,0.41806591484321576
BORCS8-MEF2B,0.6065274896072702,0.802835705304851,0.6923730016125519
BRAF,0.33446411380071556,0.3418964338367371,0.790804980451961
BRAP,0.8210469451311435,0.46102836619207915,0.6588205126635799
BRCA1,0.30815271459063587,0.23049030635184498,0.5396903195234634
BRCC3,0.6248998383742295,0.03994563303700371,0.15126794405975336
BTK,0.8980798173089741,0.0514341965921299,0.04545151727941724
BTRC,0.5583798026386823,0.5835194549924176,0.3298802760479995
CAB39,0.5583798026386823,0.8288707552211579,0.7439460373921486
CAB39L,0.7232391303239585,0.06819700799160511,0.06759048302647677
CACNA1C,0.17412266237529717,0.012119381741823445,0.30977675377842384
CACNA1D,0.4935108967941855,0.17333247060336884,0.24853958949438756
CACYBP,0.3484170977760169,0.05640644987249073,0.8990956641063872
CALM1,0.8400775758556747,0.6593977752073492,0.06254490862455347
CALM2,0.1293264133979135,0.2867780490317313,0.42884166145675434
CALM3,0.1186267477939201,0.5494508807051267,0.4689663723512233
CALML4,0.34368463232775176,0.09223940176991487,0.927661150847187
CAMK1,0.5644825037884655,0.08630193420212148,0.36410169896405503
CAMK1D,0.4175313515909899,0.7908986823409668,0.22930309345389965
CAMK2D,0.2832829188323762,0.5030678989938759,0.8746546147052972
CAMK2G,0.2450000162574027,0.016383387198163603,0.28023132172521875
CAMK4,0.47138411339503583,0.4527758273097406,0.3452339013093864
CAMKK2,0.4175313515909899,0.4801491643415394,0.538215818045057
CAMP,0.8618916498157649,0.6881076725447068,0.9580930225993857
CARD11,0.8792804939196781,0.6754966620641414,0.24151057657369057
CARD14,0.932483203851087,0.48786285607265295,0.7523631895066103
CARD16,0.4879508012158093,0.003679507726717763,0.0030586877768041462
CARD6,0.2872307321264238,0.019472148807313346,0.44640126355080983
CARD8,0.6683056509199464,0.28646917696337115,0.6897886548549919
CARD9,0.1579894011966325,0.13835985742937074,0.14850267227353184
CASP1,0.34368463232775176,0.7579491914730614,0.08303153301750946
CASP10,0.12299039135237938,0.30781624963182097,0.40928063261465075
CASP3,0.12299039135237938,0.1285086805814254,0.015598778932116378
CASP4,0.7642864870187946,0.4481057968011112,0.5180215589520658
CASP5,0.928680803955857,0.4123883413698901,0.35053023709492204
CASP7,0.4548053183547849,0.3984751280935922,0.15840622594350123
CASP8,0.8668653636305004,0.6911239954033028,0.6821380925556657
CASP9,0.5999385400746583,0.3710348852500779,0.001432305115099057
CASTOR1,0.539767148095913,0.3294891382964442,0.5221973620570278
CASTOR2,0.12299039135237938,0.21032985555237135,0.3687127942980301
CAT,0.32556752345556134,0.7622287118608017,0.3232011963739104
CBL,0.8400775758556747,0.9234294723478235,0.765335981386715
CBLB,0.5644825037884655,0.41534149148637173,0.304733584582026
CCL28,0.3484170977760169,0.3819064127147605,0.3625423173009955
CCL3,0.07279404819707942,0.003926591644904396,0.0760726414358815
CCL3L3,0.21387372944947905,0.0092271299578066,0.6831802017656996
CCL4,0.932483203851087,0.6949573290996817,0.7781842547222968
CCL4L2,0.46045236311082066,0.42567504319195215,0.8875174628248914
