"","Actual_From","Actual_To","Weight"
"5801",854,380,0.874154834234835
"5802",854,540,0.804001574932786
"5803",854,541,0.776993160104566
"5804",854,542,0.908858876182481
"5805",854,543,1
"5806",854,545,0.864823466710074
"5807",854,552,0.934130182990993
"5808",854,553,0.95173942910507
"5809",854,554,0.977771495512248
"5810",854,555,0.942374426896522
"5811",854,556,0.924364298112051
"5812",854,557,0.936080529367482
"5813",854,559,0.971016764251948
"5814",854,567,0.97359423194587
"5815",854,570,0.930269256151636
"5816",854,571,0.739933904749359
"5821",854,576,0.96294959700184
"5823",854,578,0.966442607824599
"5828",854,669,0.892136485603182
"5829",854,785,0.873488739846255
"5870",876,259,0.312164564615702
"5871",876,260,0.991694014780305
"5872",876,261,0.992270094403716
"5873",876,262,0.990539879215644
"5874",876,380,0.91960753310248
"5875",876,381,0.29982936007204
"5876",876,410,0.300116532603981
"5877",876,411,0.292990815936756
"5879",876,420,0.315950384198035
"5880",876,422,0.305002919838568
"5881",876,540,0.825795928334641
"5882",876,541,0.748520547890469
"5883",876,542,1
"5884",876,543,0.987453608411725
"5885",876,545,0.966557257743865
"5886",876,546,0.297044555123308
"5887",876,552,0.979569601801395
"5888",876,553,0.984868020436118
"5889",876,554,0.951560979946803
"5890",876,555,0.978356115468742
"5891",876,556,0.991637981412431
"5892",876,557,0.980078835787667
"5893",876,559,0.972336709337736
"5894",876,567,0.988157181893445
"5895",876,570,0.981683921518999
"5896",876,571,0.711028391361381
"5901",876,576,0.988954071353065
"5903",876,578,0.986962791584696
"5907",876,669,0.875311082394351
"5908",876,785,0.983799834450309
"5912",877,259,0.416565992969393
"5913",877,260,0.959494943022468
"5914",877,261,0.990232401118706
"5915",877,262,0.957574363759211
"5916",877,380,0.88599903230853
"5917",877,381,0.397563315286604
"5918",877,410,0.398013953824801
"5919",877,411,0.393784915948672
"5921",877,420,0.417314293010313
"5922",877,422,0.405045869280897
"5923",877,540,0.805045917051998
"5924",877,541,0.736884611772285
"5925",877,542,0.956454164303052
"5926",877,543,0.936253650069814
"5927",877,545,1
"5928",877,546,0.397156553211819
"5929",877,552,0.966049361779892
"5930",877,553,0.955726075918612
"5931",877,554,0.94306114631118
"5932",877,555,0.965794106519796
"5933",877,556,0.967267849863443
"5934",877,557,0.962784835432876
"5935",877,559,0.953477794677962
"5936",877,567,0.953704407201786
