gene_node_idx,gene_node_name
908,PIK3AP1
909,PIK3C3
910,PIK3CA
911,PIK3CB
912,PIK3CD
913,PIK3CG
914,PIK3R1
915,PIK3R2
916,PIK3R3
917,PIK3R4
918,PIK3R5
919,PIK3R6
920,PIM1
921,PIN1
922,PKM
923,PKN1
924,PKN2
925,PKN3
926,PLA2G12A
927,PLA2G4A
928,PLA2G4B
929,PLA2G4C
930,PLA2G6
931,PLAAT3
932,PLAT
933,PLCB1
934,PLCB2
935,PLCB3
936,PLCD1
937,PLCD3
938,PLCE1
939,PLCG1
940,PLCG2
941,PLD1
942,PLD2
943,PLIN2
944,PLIN4
945,PLIN5
946,PLK1
947,PLK3
948,PLN
949,PLTP
950,PMAIP1
951,POMC
952,PORCN
953,PPARA
954,PPARD
955,PPBP
956,PPIF
957,PPM1A
958,PPM1B
959,PPM1D
960,PPP1CA
961,PPP1CB
962,PPP1CC
963,PPP1R12A
964,PPP1R12B
965,PPP1R12C
966,PPP1R3B
967,PPP1R3D
968,PPP1R3E
969,PPP1R3F
970,PPP2CA
971,PPP2CB
972,PPP2R1A
973,PPP2R1B
974,PPP2R2A
975,PPP2R2B
976,PPP2R2D
977,PPP2R3A
978,PPP2R3B
979,PPP2R3C
980,PPP2R5A
981,PPP2R5B
982,PPP2R5C
983,PPP2R5D
984,PPP2R5E
985,PPP3CA
986,PPP3CB
987,PPP3CC
988,PPP3R1
989,PPP4C
990,PPP4R3A
991,PPP4R3B
992,PPP5C
993,PREX1
994,PRICKLE1
995,PRICKLE3
996,PRKAA1
997,PRKAB1
998,PRKAB2
999,PRKACA
1000,PRKACB
1001,PRKAG1
1002,PRKAG2
1003,PRKAR1A
1004,PRKAR1B
1005,PRKAR2A
1006,PRKAR2B
1007,PRKCA
1008,PRKCB
1009,PRKCD
1010,PRKCE
1011,PRKCI
1012,PRKCQ
1013,PRKCZ
1014,PRKD2
1015,PRKD3
1016,PRLR
1017,PRMT1
1018,PRR5
1019,PSEN1
1020,PSEN2
1021,PSENEN
1022,PSTPIP1
1023,PTAFR
1024,PTCH1
1025,PTCH2
1026,PTCRA
1027,PTEN
1028,PTGER2
1029,PTGS2
1030,PTK2
1031,PTK2B
1032,PTPN1
1033,PTPN11
1034,PTPN2
1035,PTPN6
1036,PTPN7
1037,PTPRC
1038,PTPRF
1039,PXN
1040,PYCARD
1041,PYGB
1042,PYGL
1043,PYGM
1044,RAB10
1045,RAB11B
1046,RAB14
1047,RAB2A
1048,RAB5A
1049,RAB5B
1050,RAB5C
1051,RAB8A
1052,RAC1
1053,RAC2
1054,RAF1
1055,RALA
1056,RALB
1057,RALBP1
1058,RALGDS
1059,RAP1A
1060,RAP1B
1061,RAP1GAP
1062,RAPGEF1
1063,RAPGEF2
1064,RAPGEF3
1065,RAPGEF6
1066,RARA
1067,RASA1
1068,RASA2
1069,RASA3
1070,RASA4
1071,RASA4B
1072,RASAL2
1073,RASAL3
1074,RASGRF1
1075,RASGRF2
1076,RASGRP1
1077,RASGRP2
1078,RASGRP3
1079,RASGRP4
1080,RASSF1
1081,RASSF2
1082,RASSF4
1083,RASSF5
1084,RBCK1
1085,RBL1
1086,RBL2
1087,RBPJ
1088,RBX1
1089,RCAN1
1090,RCHY1
1091,REL
1092,RELA
1093,RELB
1094,RFNG
1095,RGL1
1096,RGL2
1097,RGMB
1098,RGS14
1099,RGS2
1100,RHEB
1101,RHOA
1102,RHOQ
1103,RICTOR
1104,RIN1
1105,RIPK1
1106,RIPK2
1107,RIPK3
1108,RNASEL
1109,RNF125
1110,RNF31
1111,RNF43
1112,ROCK1
1113,ROCK2
1114,ROR1
1115,RPS6
1116,RPS6KA1
1117,RPS6KA2
1118,RPS6KA3
1119,RPS6KA4
1120,RPS6KA5
1121,RPS6KB1
1122,RPS6KB2
1123,RPTOR
1124,RRAGA
1125,RRAGB
1126,RRAGC
1127,RRAGD
1128,RRAS
1129,RRAS2
1130,RRM2
1131,RRM2B
1132,RUVBL1
1133,RXFP4
1134,RXRA
1135,RXRB
1136,RYK
1137,RYR1
1138,RYR3
1139,S100A8
1140,S100A9
1141,S1PR1
1142,S1PR2
1143,S1PR3
1144,S1PR4
1145,S1PR5
1146,SAV1
1147,SCD
1148,SCD5
1149,SCP2
1150,SCRIB
1151,SEC13
1152,SEH1L
1153,SENP2
1154,SERPINE1
1155,SERPINF1
1156,SESN1
1157,SESN2
1158,SESN3
1159,SETD7
1160,SFRP2
1161,SFRP5
1162,SGK1
1163,SGK3
1164,SH2B1
1165,SH2B2
1166,SH2B3
1167,SH2D2A
1168,SHARPIN
1169,SHC1
1170,SHC3
1171,SHISA5
1172,SHOC2
1173,SIAH1
1174,SIK1
1175,SIK2
1176,SIKE1
1177,SIN3A
1178,SIPA1
1179,SIPA1L1
1180,SIPA1L2
1181,SIVA1
1182,SKAP1
1183,SKP1
1184,SKP2
1185,SLC25A4
1186,SLC25A5
1187,SLC25A6
1188,SLC27A1
1189,SLC27A4
1190,SLC2A1
1191,SLC38A9
1192,SLC3A2
1193,SLC7A5
1194,SLC9A1
1195,SMAD1
1196,SMAD2
1197,SMAD3
1198,SMAD4
1199,SMAD5
1200,SMAD7
1201,SMAD9
1202,SMPD2
1203,SMURF1
1204,SMURF2
1205,SNW1
1206,SOCS1
1207,SOCS2
1208,SOCS3
1209,SOCS4
1210,SOCS5
1211,SOCS6
1212,SOCS7
1213,SORBS1
1214,SOS1
1215,SOS2
1216,SP1
1217,SPHK1
1218,SPHK2
1219,SPOP
1220,SPOPL
1221,SRC
1222,SREBF1
1223,SRF
1224,SRSF1
1225,STAM
1226,STAM2
1227,STAT1
1228,STAT2
1229,STAT3
1230,STAT4
1231,STAT5A
1232,STAT5B
1233,STAT6
1234,STEAP3
1235,STIM1
1236,STIM2
1237,STING1
1238,STK11
1239,STK3
1240,STK4
1241,STMN1
1242,STRADA
1243,STRADB
1244,SUCNR1
1245,SUFU
1246,SUGT1
1247,SYK
1248,SYNGAP1
1249,TAB1
1250,TAB2
1251,TAB3
1252,TACR1
1253,TACR2
1254,TANK
1255,TAOK1
1256,TAOK2
1257,TAOK3
1258,TBC1D1
1259,TBC1D4
1260,TBC1D7
1261,TBK1
1262,TBKBP1
1263,TBL1X
1264,TBL1XR1
1265,TBXA2R
1266,TCF3
1267,TCF7
1268,TCF7L1
1269,TCF7L2
1270,TCL1A
1271,TEAD2
1272,TEC
1273,TELO2
1274,TF
1275,TFDP1
1276,TFRC
1277,TGFA
1278,TGFB1
1279,TGFB3
1280,TGFBR1
1281,TGFBR2
1282,TGIF1
1283,TGIF2
1284,THBD
1285,THBS1
1286,THBS3
1287,THEM4
1288,THRA
1289,THRB
1290,TIAM1
1291,TICAM1
1292,TICAM2
1293,TIMP1
1294,TIRAP
1295,TKFC
1296,TLE1
1297,TLE2
1298,TLE3
1299,TLE4
1300,TLN1
1301,TLN2
1302,TLR1
1303,TLR2
1304,TLR3
1305,TLR4
1306,TLR5
1307,TLR6
1308,TLR7
1309,TLR8
1310,TLR9
1311,TNF
1312,TNFAIP3
1313,TNFRSF10A
1314,TNFRSF10B
1315,TNFRSF11A
1316,TNFRSF13C
1317,TNFRSF1A
1318,TNFRSF1B
1319,TNFSF10
1320,TNFSF13B
1321,TNFSF14
1322,TNXB
1323,TOLLIP
1324,TP53
1325,TP53BP1
1326,TP53BP2
1327,TP53I3
1328,TP73
1329,TRADD
1330,TRAF1
1331,TRAF2
1332,TRAF3
1333,TRAF3IP2
1334,TRAF4
1335,TRAF5
1336,TRAF6
1337,TRIP10
1338,TRIP6
1339,TRPC6
1340,TSC1
1341,TSC2
1342,TTI1
1343,TXN
1344,TXN2
1345,TXNIP
1346,TYK2
1347,UBC
1348,ULK1
1349,ULK2
1350,USP25
1351,USP7
1352,VANGL1
1353,VASP
1354,VAV1
1355,VAV2
1356,VAV3
1357,VDAC1
1358,VDAC2
1359,VDAC3
1360,VEGFA
1361,VEGFB
1362,VHL
1363,VWF
1364,WAS
1365,WDR24
1366,WDR59
1367,WNT1
1368,WNT10A
1369,WNT10B
1370,WNT16
1371,WNT2B
1372,WNT3
1373,WNT4
1374,WNT7A
1375,XCL1
1376,XCL2
1377,XIAP
1378,YWHAB
1379,YWHAE
1380,YWHAG
1381,YWHAH
1382,YWHAQ
1383,YWHAZ
1384,ZAP70
1385,ZFYVE16
1386,ZFYVE9
1387,ZMAT3
1388,ZNF274
1389,ZNRF3
